"tool_name","category","description","keywords","icon_url","website_link"
"Neptune.ai","AI Platform","Metadata store for ML experiments featuring run tracking, model registry, and team collaboration.","neptune ai experiment tracking ml model registry metadata collaboration","https://neptune.ai/favicon.ico","https://neptune.ai"
"Hugging Face","AI Platform","Open-source AI community and platform for sharing, discovering, and running models and datasets.","hugging face model ai machine learning open source dataset hub nlp transformers","https://huggingface.co/favicon.ico","https://huggingface.co"
"Replicate","AI Platform","Cloud platform for running open-source machine learning models via simple API calls without infrastructure.","replicate model api machine learning open source run deploy cloud no infra","https://replicate.com/favicon.ico","https://replicate.com"
"Modal","AI Platform","Serverless cloud platform for running Python functions and ML workloads at scale with GPU access.","modal serverless cloud python ml gpu scale deploy function compute","https://modal.com/favicon.ico","https://modal.com"
"Midjourney","Image Generation","Powerful AI art generator creating stunning high-quality artistic images from text prompts via Discord.","midjourney image art generate create visual design illustration prompt artistic","https://upload.wikimedia.org/wikipedia/commons/thumb/e/e6/Midjourney_Emblem.png/64px-Midjourney_Emblem.png","https://www.midjourney.com"
"DALL-E 3","Image Generation","OpenAI's latest image generation model that creates highly detailed and accurate images from text descriptions.","dalle openai image generate create art visual illustration design photo realistic","https://upload.wikimedia.org/wikipedia/commons/thumb/0/04/ChatGPT_logo.svg/64px-ChatGPT_logo.svg.png","https://openai.com/dall-e-3"
"Stable Diffusion","Image Generation","Leading open-source AI image synthesis model for generating photorealistic images, art, and editing.","stable diffusion image generate art create visual design photo realistic open source","https://upload.wikimedia.org/wikipedia/commons/thumb/6/66/Stability_AI_logo.svg/64px-Stability_AI_logo.svg.png","https://stability.ai"
"Adobe Firefly","Image Generation","Adobe's AI image generator integrated with Creative Cloud for professional-grade creative design workflows.","adobe firefly image generate art design creative photo illustration edit cc cloud","https://www.adobe.com/favicon.ico","https://firefly.adobe.com"
"Ideogram","Image Generation","AI image generator excelling at embedding accurate, readable text inside generated images and artwork.","ideogram image generate text inside art typography design accurate readable","https://ideogram.ai/favicon.ico","https://ideogram.ai"
"Leonardo AI","Image Generation","AI art platform for generating consistent characters, game assets, and product-ready creative visuals.","leonardo ai image generate art game asset character design consistent style","https://leonardo.ai/favicon.ico","https://leonardo.ai"
"Playground AI","Image Generation","Free AI image generation platform mixing different models for creative art with social sharing features.","playground ai image generate art free social mix model creative fun","https://playgroundai.com/favicon.ico","https://playgroundai.com"
"Tensor Art","Image Generation","Web-based AI art generation platform with model hosting and community sharing for stable diffusion models.","tensor art ai image generate stable diffusion model host community web","https://tensor.art/favicon.ico","https://tensor.art"
"NightCafe","Image Generation","AI art creation platform with multiple generation algorithms, daily challenges, and active creator community.","nightcafe ai art image generate algorithm community challenge create style","https://nightcafe.studio/favicon.ico","https://nightcafe.studio"
"DreamStudio","Image Generation","Stability AI's official web interface for Stable Diffusion with fine-grained control over image generation.","dreamstudio stability ai stable diffusion image generate control prompt web","https://stability.ai/favicon.ico","https://dreamstudio.ai"
"Bing Image Creator","Image Generation","Microsoft's free AI image generator powered by DALL-E 3 integrated into Bing and Edge browser.","bing image creator microsoft free dalle generate art browse edge copilot","https://www.bing.com/favicon.ico","https://www.bing.com/images/create"
"Canva AI","Design","AI-enhanced graphic design platform for creating professional visuals, social media content, and presentations.","canva design graphic image presentation marketing template visual create social","https://upload.wikimedia.org/wikipedia/commons/thumb/b/bb/Canva_Logo.svg/64px-Canva_Logo.svg.png","https://www.canva.com"
"Krea AI","Image Generation","Real-time AI image generation and enhancement platform for designers with live preview and upscaling.","krea ai image generate real-time enhance upscale design live preview create","https://www.krea.ai/favicon.ico","https://www.krea.ai"
"Getimg.ai","Image Generation","Suite of AI image tools including generation, editing, inpainting, outpainting, and face restoration.","getimg ai image generate edit inpaint outpaint face restore suite tool","https://getimg.ai/favicon.ico","https://getimg.ai"
"Lexica","Image Generation","AI art search engine and Stable Diffusion image generation platform with prompt exploration features.","lexica stable diffusion search prompt explore art image generate discover","https://lexica.art/favicon.ico","https://lexica.art"
"BlueWillow","Image Generation","Free AI image generator offering high-quality art creation similar to Midjourney via Discord community.","bluewillow ai image generate free discord community art midjourney alternative","https://www.bluewillow.ai/favicon.ico","https://www.bluewillow.ai"
"Artbreeder","Image Generation","Collaborative AI art tool for blending and evolving images using genetic algorithms and style mixing.","artbreeder blend evolve mix image ai art collaborate genetic portrait style","https://www.artbreeder.com/favicon.ico","https://www.artbreeder.com"
"Deep Dream Generator","Image Generation","Google's Deep Dream art generator that creates trippy, psychedelic images from photos using neural networks.","deep dream generator google neural art psychedelic trippy photo transform style","https://deepdreamgenerator.com/favicon.ico","https://deepdreamgenerator.com"
"Fotor AI","Image Generation","All-in-one AI photo editor and image generator with background removal, enhancer, and design tools.","fotor ai photo edit generate enhance background remove design portrait tool","https://www.fotor.com/favicon.ico","https://www.fotor.com"
"StarryAI","Image Generation","Mobile AI art generator app creating artwork from text prompts with full ownership of generated images.","starryai mobile app art image generate text prompt ownership nft create","https://starryai.com/favicon.ico","https://starryai.com"
"Craiyon","Image Generation","Free AI image generator (formerly DALL-E mini) for creating quirky images from any text description.","craiyon dalle mini free image generate text art fun quirky simple","https://www.craiyon.com/favicon.ico","https://www.craiyon.com"
"Stablecog","Image Generation","Free, open-source AI image generator using Stable Diffusion with multilingual support and fast generation.","stablecog open source stable diffusion free multilingual image generate fast","https://stablecog.com/favicon.ico","https://stablecog.com"
"Dzine","Design","AI-powered graphic design tool for generating branded social media graphics, ads, and marketing visuals.","dzine ai graphic design brand social media ads marketing visual generate","https://www.dzine.ai/favicon.ico","https://www.dzine.ai"
"Patterned AI","Design","AI tool for generating seamless, tileable patterns for fabric, wallpaper, and surface design.","patterned ai pattern generate seamless tile fabric wallpaper surface design textile","https://www.patterned.ai/favicon.ico","https://www.patterned.ai"
"Clipdrop","Image Editing","Suite of AI image editing tools including background removal, cleanup, relight, and image upscaling.","clipdrop ai image edit background remove cleanup relight upscale enhance suite","https://clipdrop.co/favicon.ico","https://clipdrop.co"
"Remove.bg","Image Editing","AI-powered background removal tool that automatically detects and removes image backgrounds in seconds.","remove background image editing photo cutout transparent foreground automatic","https://www.remove.bg/favicon.ico","https://www.remove.bg"
"Photoroom","Image Editing","AI photo editor for removing backgrounds, creating product photos, and designing marketing visuals instantly.","photoroom ai photo edit background remove product marketing ecommerce instant","https://www.photoroom.com/favicon.ico","https://www.photoroom.com"
"Magic Eraser","Image Editing","AI tool for removing unwanted objects, people, and blemishes from photos with a simple brush stroke.","magic eraser remove object photo ai erase blemish clean edit unwanted","https://magicstudio.com/favicon.ico","https://magicstudio.com/magiceraser"
"Lensa AI","Image Editing","AI photo editor and avatar creator generating artistic portraits and stylized profile pictures from selfies.","lensa ai photo edit avatar portrait selfie artistic style magic profile","https://prisma-ai.com/favicon.ico","https://prisma-ai.com/lensa"
"Remini","Image Editing","AI photo enhancer that restores old, blurry, and low-quality photos to sharp HD quality using deep learning.","remini ai photo enhance restore old blurry hd quality upscale sharpen","https://remini.ai/favicon.ico","https://remini.ai"
"Topaz Photo AI","Image Editing","Professional AI photo enhancer for noise reduction, sharpening, and upscaling photos to ultra-high resolution.","topaz photo ai enhance denoise sharpen upscale resolution professional photography","https://www.topazlabs.com/favicon.ico","https://www.topazlabs.com/topaz-photo-ai"
"Let's Enhance","Image Editing","AI image upscaling service that increases resolution up to 16x while preserving natural details and textures.","lets enhance upscale image resolution quality ai detail texture increase","https://letsenhance.io/favicon.ico","https://letsenhance.io"
"Icons8","Design","AI-powered platform offering icons, illustrations, photos, and a smart icon generator for designers.","icons8 icon illustration photo design generate ai asset resource smart","https://icons8.com/favicon.ico","https://icons8.com"
"Vectorizer AI","Design","Automatically converts raster images like PNG and JPEG into clean, scalable SVG vector graphics using AI.","vectorizer ai svg vector convert raster png jpeg image scalable clean graphic","https://vectorizer.ai/favicon.ico","https://vectorizer.ai"
"Flair AI","Design","AI design tool for creating branded product photos and marketing visuals with customizable lifestyle scenes.","flair ai design product photo branded marketing lifestyle scene ecommerce visual","https://flair.ai/favicon.ico","https://flair.ai"
"Runway ML","Video Generation","Professional AI video generation and editing platform with Gen-2 for text-to-video and image animation.","runway video generate create edit film production movie animation text image","https://runwayml.com/favicon.ico","https://runwayml.com"
"Pika Labs","Video Generation","AI video generation tool that converts text and image prompts into high-quality animated video clips.","pika video generate create animate text to video image to video clip","https://www.pika.art/favicon.ico","https://www.pika.art"
"Synthesia","Video Generation","AI video creation platform using photorealistic digital avatars to produce corporate and training videos.","synthesia avatar video generate create training presentation corporate spokesperson","https://www.synthesia.io/favicon.ico","https://www.synthesia.io"
"HeyGen","Video Generation","AI video platform for creating presenter videos with realistic human avatars in 40+ languages.","heygen avatar video generate create presenter spokesperson translate multilingual","https://www.heygen.com/favicon.ico","https://www.heygen.com"
"Sora","Video Generation","OpenAI's groundbreaking text-to-video model generating minute-long photorealistic cinematic video clips.","sora openai video generate create text to video cinematic photorealistic long","https://upload.wikimedia.org/wikipedia/commons/thumb/0/04/ChatGPT_logo.svg/64px-ChatGPT_logo.svg.png","https://sora.com"
"Kling AI","Video Generation","Chinese AI video generation model producing high-quality 2-minute videos from text or image prompts.","kling ai video generate create text image 2 minute long high quality chinese","https://klingai.com/favicon.ico","https://klingai.com"
"Hailuo AI","Video Generation","MiniMax's AI video generator creating realistic, high-quality short video clips from text descriptions.","hailuo ai minimax video generate create text realistic short clip quality","https://hailuoai.com/favicon.ico","https://hailuoai.com"
"Luma Dream Machine","Video Generation","Luma AI's fast text-to-video model generating realistic, physically accurate video clips from prompts.","luma dream machine video generate create text realistic physical accurate fast","https://lumalabs.ai/favicon.ico","https://lumalabs.ai/dream-machine"
"Invideo AI","Video Generation","AI video creation platform that turns text scripts into fully produced videos with stock footage and voiceover.","invideo ai video create script stock footage voiceover produce automated text","https://invideo.io/favicon.ico","https://invideo.io"
"Pictory","Video Editing","AI video creation tool that transforms long blog articles and scripts into short engaging social video clips.","pictory video create edit clip article script social media content blog auto","https://pictory.ai/favicon.ico","https://pictory.ai"
"Descript","Video Editing","AI-powered video and podcast editor where you edit video by editing the transcript text like a document.","descript video edit podcast audio transcribe overdub record production text edit","https://www.descript.com/favicon.ico","https://www.descript.com"
"CapCut","Video Editing","Popular AI video editor with auto captions, background removal, templates, and viral social media effects.","capcut video edit ai caption background remove template social tiktok effect auto","https://www.capcut.com/favicon.ico","https://www.capcut.com"
"Veed.io","Video Editing","Online video editor with AI tools for auto subtitles, noise removal, translation, and eye contact correction.","veed video edit online subtitle noise remove translate eye contact ai tool","https://www.veed.io/favicon.ico","https://www.veed.io"
"OpusClip","Video Editing","AI tool that automatically clips long videos into viral short-form content for TikTok, Reels, and Shorts.","opusclip clip video short form viral tiktok reels youtube shorts auto ai","https://www.opus.pro/favicon.ico","https://www.opus.pro"
"Vidyo.ai","Video Editing","AI-powered platform to repurpose long videos into short branded clips with captions and social templates.","vidyo ai video repurpose short clip brand caption social template reels shorts","https://vidyo.ai/favicon.ico","https://vidyo.ai"
"Fliki","Video Generation","Text-to-video platform converting blog posts and scripts into videos with AI voices and stock media.","fliki text video blog script ai voice stock media convert create social","https://fliki.ai/favicon.ico","https://fliki.ai"
"Steve AI","Video Generation","AI video maker converting text scripts into animated or live videos with voiceover for businesses.","steve ai video create animate text script voiceover business explainer","https://www.steve.ai/favicon.ico","https://www.steve.ai"
"Animoto","Video Editing","Drag-and-drop video maker with AI-powered templates for creating professional marketing and social videos.","animoto video create drag drop template marketing social professional easy","https://animoto.com/favicon.ico","https://animoto.com"
"Topaz Video AI","Video Editing","Professional AI video enhancer for upscaling, denoising, stabilizing, and increasing frame rate of footage.","topaz video ai enhance upscale denoise stabilize frame rate fps professional","https://www.topazlabs.com/favicon.ico","https://www.topazlabs.com/topaz-video-ai"
"Wisecut","Video Editing","Automatic video editor that removes silences, adds subtitles, and creates short clips from long recordings.","wisecut video edit automatic silence remove subtitle clip short long ai","https://www.wisecut.video/favicon.ico","https://www.wisecut.video"
"D-ID","Video Generation","AI platform creating interactive digital human avatars that speak, respond, and engage in real time.","d-id digital human avatar speak interact real-time video generate face animate","https://www.d-id.com/favicon.ico","https://www.d-id.com"
"Hour One","Video Generation","Enterprise AI video platform for creating training, e-learning, and internal communication videos with avatars.","hour one ai video enterprise training elearning avatar corporate communication","https://hourone.ai/favicon.ico","https://hourone.ai"
"Colossyan","Video Generation","AI video creator for learning and development teams using diverse avatar presenters and auto-translation.","colossyan ai video learning development avatar translate diverse presenter corporate","https://www.colossyan.com/favicon.ico","https://www.colossyan.com"
"Captions","Video Editing","AI video editor adding animated captions, eye contact correction, and studio effects to talking head videos.","captions ai video edit caption animate eye contact studio effect talking head","https://www.captions.ai/favicon.ico","https://www.captions.ai"
"Munch","Video Editing","AI tool extracting the most engaging clips from long videos for repurposing across social media platforms.","munch ai video clip extract engage repurpose social media long short content","https://www.getmunch.com/favicon.ico","https://www.getmunch.com"
"ElevenLabs","Audio Generation","State-of-the-art AI voice synthesis for ultra-natural text-to-speech, voice cloning, and dubbing.","elevenlabs voice audio speech synthesize clone tts narration podcast dub realistic","https://elevenlabs.io/favicon.ico","https://elevenlabs.io"
"Murf AI","Audio Generation","Professional AI voice generator for creating lifelike voiceovers for videos, podcasts, and e-learning.","murf voice audio tts voiceover speech narration podcast video elearning realistic","https://murf.ai/favicon.ico","https://murf.ai"
"Udio","Audio Generation","AI music generation tool that creates full original songs with vocals from text prompts across all genres.","udio music audio generate create compose song genre melody vocal full track","https://www.udio.com/favicon.ico","https://www.udio.com"
"Suno AI","Audio Generation","Leading AI music creation platform generating complete songs with lyrics and instrumentation from simple text.","suno music audio generate create song lyrics melody composition text prompt full","https://suno.com/favicon.ico","https://suno.com"
"Boomy","Audio Generation","AI music generator that lets anyone create original songs in seconds and distribute them to streaming platforms.","boomy music generate create original song ai distribute stream publish fast","https://boomy.com/favicon.ico","https://boomy.com"
"Soundraw","Audio Generation","AI music generator for content creators producing royalty-free, customizable background music for videos.","soundraw music generate royalty free background video content creator customize","https://soundraw.io/favicon.ico","https://soundraw.io"
"Mubert","Audio Generation","AI-generated royalty-free music platform creating adaptive soundtracks for videos, streams, and apps.","mubert music generate royalty free adaptive soundtrack video stream app ambient","https://mubert.com/favicon.ico","https://mubert.com"
"AIVA","Audio Generation","AI composer creating emotional classical, cinematic, and game music for films, trailers, and soundtracks.","aiva ai compose music classical cinematic game film trailer soundtrack emotional","https://www.aiva.ai/favicon.ico","https://www.aiva.ai"
"Loudly","Audio Generation","AI music platform for generating and customizing background tracks for social media and video content.","loudly music generate customize background social video content creator ai loop","https://www.loudly.com/favicon.ico","https://www.loudly.com"
"Beatoven.ai","Audio Generation","AI music tool creating unique mood-based background tracks tailored to your video content automatically.","beatoven music generate mood background video content creator ai customize track","https://www.beatoven.ai/favicon.ico","https://www.beatoven.ai"
"Splash Pro","Audio Generation","AI music maker for creating and remixing beats, melodies, and full tracks with voice control and loops.","splash pro music create remix beat melody ai voice control loop track","https://www.splashmusic.com/favicon.ico","https://www.splashmusic.com"
"Musicfy","Audio Generation","AI voice-to-instrument tool that converts voice recordings into musical instruments and generates AI cover songs.","musicfy ai voice instrument convert cover song generate music audio create","https://musicfy.lol/favicon.ico","https://musicfy.lol"
"Voicemod","Audio Generation","Real-time AI voice changer and soundboard for gaming, streaming, and online communication with voice effects.","voicemod voice changer real-time ai effect gaming streaming online soundboard fun","https://www.voicemod.net/favicon.ico","https://www.voicemod.net"
"Resemble AI","Audio Generation","AI voice platform for cloning voices, generating speech, and creating interactive real-time voice agents.","resemble ai voice clone generate speech real-time agent interactive tts custom","https://www.resemble.ai/favicon.ico","https://www.resemble.ai"
"Play.ht","Audio Generation","AI text-to-speech platform with 900+ voices in 100+ languages for podcasts, videos, and content creation.","play.ht tts text speech voice generate podcast video content 900 voices language","https://play.ht/favicon.ico","https://play.ht"
"Speechify","Audio Generation","AI text-to-speech tool that reads documents, PDFs, and web pages aloud at up to 4.5x speed.","speechify text speech read document pdf listen speed ai accessibility audio","https://speechify.com/favicon.ico","https://speechify.com"
"Whisper","Audio Transcription","OpenAI's powerful open-source speech recognition model for accurate audio and video transcription.","whisper openai transcribe speech audio video recognition language convert open source","https://upload.wikimedia.org/wikipedia/commons/thumb/0/04/ChatGPT_logo.svg/64px-ChatGPT_logo.svg.png","https://openai.com/research/whisper"
"AssemblyAI","Audio Transcription","Developer API for accurate audio transcription, speaker detection, sentiment analysis, and audio intelligence.","assemblyai transcribe audio api speaker detect sentiment intelligence developer","https://www.assemblyai.com/favicon.ico","https://www.assemblyai.com"
"Deepgram","Audio Transcription","Real-time speech-to-text API for transcription, captioning, and voice features with low latency.","deepgram speech text transcribe api real-time caption voice recognize developer","https://deepgram.com/favicon.ico","https://deepgram.com"
"Krisp","Audio Generation","AI noise cancellation app removing background noise and echo from calls and recordings in real time.","krisp noise cancel remove background call recording real-time meeting ai clean","https://krisp.ai/favicon.ico","https://krisp.ai"
"Adobe Podcast","Audio Generation","Adobe's AI audio toolkit with Enhance Speech to remove noise and improve podcast and voice recording quality.","adobe podcast audio enhance speech noise remove quality improve record ai","https://podcast.adobe.com/favicon.ico","https://podcast.adobe.com"
"Cleanvoice","Audio Transcription","AI tool that automatically removes filler words, stutters, mouth sounds, and dead air from podcasts.","cleanvoice ai podcast audio remove filler stutter mouth sound dead air clean","https://cleanvoice.ai/favicon.ico","https://cleanvoice.ai"
"Podcastle","Audio Generation","All-in-one AI podcast creation platform for recording, editing, transcribing, and distributing episodes.","podcastle podcast create record edit transcribe distribute ai studio publish","https://podcastle.ai/favicon.ico","https://podcastle.ai"
"Descript Overdub","Audio Generation","AI voice cloning feature in Descript that generates your voice to fix podcast and video recording mistakes.","descript overdub voice clone fix podcast record mistake regenerate word replace","https://www.descript.com/favicon.ico","https://www.descript.com/overdub"
"Altered Studio","Audio Generation","Professional AI voice transformation tool for changing, cloning, and designing custom voices for productions.","altered studio voice transform clone design custom production ai professional change","https://www.altered.ai/favicon.ico","https://www.altered.ai"
"Lalal.ai","Audio Generation","AI audio stem splitter separating vocals, instruments, drums, and bass from any song with high quality.","lalal ai stem split vocal instrument drum bass separate song audio extract","https://www.lalal.ai/favicon.ico","https://www.lalal.ai"
"Moises","Audio Generation","AI music app for separating audio stems, changing pitch, adjusting tempo, and practicing with any song.","moises ai music stem separate pitch tempo practice song instrument vocal app","https://moises.ai/favicon.ico","https://moises.ai"
"AudioShake","Audio Generation","AI audio separation technology extracting clean stems from mixed music recordings for licensing and remixing.","audioshake stem separate music recording license remix clean extract vocal ai","https://www.audioshake.ai/favicon.ico","https://www.audioshake.ai"
"GitHub Copilot","Coding","AI pair programmer by GitHub and OpenAI suggesting code, functions, tests, and documentation in real time.","github copilot code programming autocomplete suggest debug developer ide function test","https://upload.wikimedia.org/wikipedia/commons/thumb/c/c2/GitHub_Invertocat_Logo.svg/64px-GitHub_Invertocat_Logo.svg.png","https://github.com/features/copilot"
"Cursor","Coding","AI-first code editor with deep codebase understanding, multi-file edits, and instant AI chat for developers.","cursor code editor programming ide ai pair programmer debug refactor codebase understand","https://cursor.sh/favicon.ico","https://cursor.sh"
"Tabnine","Coding","AI code assistant predicting and autocompleting code across 30+ languages and all major IDEs privately.","tabnine code autocomplete programming suggestion developer language ide private secure predict","https://www.tabnine.com/favicon.ico","https://www.tabnine.com"
"Replit","Coding","Online IDE with AI features for writing, running, debugging, and deploying code in any language from browser.","replit code online ide programming deploy run browser cloud development collaborative","https://replit.com/favicon.ico","https://replit.com"
"Amazon CodeWhisperer","Coding","AWS's AI coding companion suggesting real-time code completions and security vulnerability scanning.","amazon codewhisperer aws ai code suggest completion security scan cloud developer","https://aws.amazon.com/favicon.ico","https://aws.amazon.com/codewhisperer"
"Codeium","Coding","Free AI code completion and chat tool supporting 70+ languages with IDE plugins and enterprise security.","codeium free ai code complete chat language plugin ide enterprise security suggest","https://codeium.com/favicon.ico","https://codeium.com"
"Sourcegraph Cody","Coding","AI coding assistant with full codebase context for answering questions, fixing bugs, and writing code.","sourcegraph cody ai code codebase context question fix bug write understand enterprise","https://sourcegraph.com/favicon.ico","https://sourcegraph.com/cody"
"Continue","Coding","Open-source AI code assistant plugin for VS Code and JetBrains connecting any LLM to your IDE locally.","continue open source ai code plugin vscode jetbrains llm ide local private","https://continue.dev/favicon.ico","https://continue.dev"
"Aider","Coding","AI pair programming CLI tool that edits code in your local git repository using GPT-4 or Claude.","aider ai pair programming cli git local gpt claude edit code terminal command","https://aider.chat/favicon.ico","https://aider.chat"
"Devin","Coding","World's first fully autonomous AI software engineer capable of completing entire coding projects end-to-end.","devin ai software engineer autonomous coding project build end-to-end agent full-stack","https://www.cognition.ai/favicon.ico","https://www.cognition.ai"
"Bolt.new","Coding","AI-powered full-stack web app builder that generates, runs, and deploys complete apps from text prompts.","bolt new ai full-stack web app build generate deploy text prompt instant code","https://bolt.new/favicon.ico","https://bolt.new"
"v0 by Vercel","Coding","AI UI component generator by Vercel creating React and Tailwind code from text descriptions and screenshots.","v0 vercel ai ui component react tailwind generate code design text screenshot frontend","https://v0.dev/favicon.ico","https://v0.dev"
"Lovable","Coding","AI full-stack app builder that generates complete React applications from natural language descriptions.","lovable ai app builder react full-stack generate natural language frontend backend","https://lovable.dev/favicon.ico","https://lovable.dev"
"Windsurf","Coding","Codeium's agentic IDE with Cascade feature that understands and edits across entire codebases autonomously.","windsurf codeium agentic ide cascade codebase understand edit autonomous ai developer","https://codeium.com/favicon.ico","https://codeium.com/windsurf"
"Zed","Coding","High-performance collaborative code editor with built-in AI assistance for fast code writing and editing.","zed code editor fast performance collaborative ai assist write edit pair programming","https://zed.dev/favicon.ico","https://zed.dev"
"Pieces for Developers","Coding","AI-powered developer productivity tool for capturing, organizing, and reusing code snippets with context.","pieces developer productivity code snippet capture organize reuse context ai assistant","https://pieces.app/favicon.ico","https://pieces.app"
"Bugasura","Coding","AI-enhanced bug tracking platform for development teams to report, assign, and resolve bugs efficiently.","bugasura bug track ai team report assign resolve project management development","https://bugasura.io/favicon.ico","https://bugasura.io"
"Stenography","Coding","AI tool that automatically generates documentation and code comments for any code file or repository.","stenography ai documentation generate comment code auto explain repository doc","https://stenography.dev/favicon.ico","https://stenography.dev"
"Mintlify","Coding","AI-powered documentation platform for automatically generating and maintaining beautiful developer docs.","mintlify documentation ai generate developer docs beautiful maintain code explain","https://mintlify.com/favicon.ico","https://mintlify.com"
"TestGPT","Coding","AI tool that automatically generates unit tests and test cases for code to improve software quality.","testgpt ai unit test generate code quality software automatic testing developer","https://codium.ai/favicon.ico","https://codium.ai"
